,parkingTransactionKey,transactionSourceCode,meterId,zoneNbr,startDtm,endDtm,transactionAmt,paymentTypeName,transactionStatusCode,meterManufacturerName,blockNbr,sourceStreetDisplayName,sideDirectionName,latitudeCrd,longitudeCrd,statePlaneXCrd,statePlaneYCrd,handicapInd,timeRestrictionDsc,maxHoursCnt,meterTypeDsc,dollarPerHourRate,activeStatusInd,zoneSpaceCnt,metroAreaName
0,8,IPS,FAH4312N,54163,2015-12-31T17:12:10.000Z,2015-12-31T18:00:00.000Z,1.25,Credit Card,Approved,IPS,4300,FAIRFAX DR,East,38.88198287,-77.11512619,11877129.80375000,7007222.03312500,True,MON-SAT 8AM-6PM,12.0,Double,1.25,False,1.00,Ballston
1,14,IPS,CRH2500S,54065,2015-12-31T16:57:39.000Z,2015-12-31T18:00:01.000Z,1.75,Coins,,IPS,2500,CRYSTAL DR,West,38.85120916,-77.05026149,11895769.40187500,6996300.72125000,True,MON-SAT 8AM-6PM,4.0,Double,1.25,True,2.00,Crystal City
2,39,IPS,ULH1412N,54408,2015-12-31T15:04:19.000Z,2015-12-31T17:04:19.000Z,1.35,Coins,,IPS,1400,N UHLE ST,West,38.88985375,-77.08474623,11885732.76812500,7010220.16374999,True,MON - SAT 8AM - 8PM,1.0,Single,1.75,False,2.00,Courthouse
3,50,IPS,RAH500N,54634,2015-12-31T14:26:41.000Z,2015-12-31T18:00:00.000Z,3.75,Credit Card,Approved,MacKay,500,N RANDOLPH ST,East,38.87762673,-77.10958651,11878730.61437500,7005659.54250000,False,MON-FRI 8AM-6PM,12.0,Single,1.00,True,2.00,Ballston
4,57,IPS,317N,54469,2015-12-31T14:04:57.000Z,2015-12-31T14:36:57.000Z,0.80,Coins,,IPS,1400,N COURTHOUSE RD,North,38.89058732,-77.08467526,11885748.84937500,7010487.61062500,True,"MON - FRI 8AM - 8PM, SAT 6AM - 12PM",1.0,Single,1.75,False,3.00,Courthouse
5,71,IPS,ULH1412N,54408,2015-12-31T13:24:19.000Z,2015-12-31T15:16:41.000Z,0.85,Coins,,IPS,1400,N UHLE ST,West,38.88985375,-77.08474623,11885732.76812500,7010220.16374999,True,MON - SAT 8AM - 8PM,1.0,Single,1.75,False,2.00,Courthouse
6,89,IPS,191106N,54520,2015-12-31T12:21:24.000Z,2015-12-31T13:11:24.000Z,1.25,Coins,,IPS,1100,19TH ST N,East,38.89699722,-77.07008220,11889865.64812500,7012886.19062500,False,MON-SAT 8AM-6PM,4.0,Double,1.25,True,5.00,Rosslyn
7,101,IPS,QNH1600N,54525,2015-12-31T12:06:03.000Z,2015-12-31T13:06:03.000Z,1.50,Coins,,IPS,1600,N QUINN ST,West,38.89381150,-77.07865384,11887444.35625000,7011688.20125000,True,MON-SAT 8AM-6PM,4.0,Single,1.25,True,1.00,Rosslyn
8,123,IPS,317N,54469,2015-12-31T10:47:38.000Z,2015-12-31T11:07:38.000Z,0.50,Coins,,IPS,1400,N COURTHOUSE RD,North,38.89058732,-77.08467526,11885748.84937500,7010487.61062500,True,"MON - FRI 8AM - 8PM, SAT 6AM - 12PM",1.0,Single,1.75,False,3.00,Courthouse
9,132,IPS,GMH1621N,54593,2015-12-31T09:44:48.000Z,2015-12-31T10:05:09.000Z,0.50,Coins,,IPS,1600,N GEORGE MASON DR,East,38.88851264,-77.12831895,11873339.15875000,7009543.53874999,True,MON - SAT 8AM - 8PM,4.0,Single,1.50,False,1.00,Virginia Hospital
